REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
5,Pacific Southwest,LASSEN,EAGLE LAKE,LAKEHEAD,CA,"LAKEHEAD, CA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LASSEN,EAGLE LAKE,SUSANVILLE,CA,"SUSANVILLE, CA","Engine, Hotshot Crew, Prevention",YES,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LASSEN,HAT CREEK,FALL RIVER MILLS,CA,"FALL RIVER MILLS, CA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LASSEN,HAT CREEK,HAT CREEK,CA,"HAT CREEK, CA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LASSEN,HAT CREEK,MANZANITA LAKE,CA,"MANZANITA LAKE, CA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LASSEN,HAT CREEK,OLD STATION,CA,"OLD STATION, CA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,LOS PADRES,MONTEREY,KING CITY,CA,"KING CITY, CA",,,,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,LOS PADRES,MT. PINOS,FRAZIER PARK,CA,"FRAZIER PARK, CA","Engine, Helitack, Prevention",YES,,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,LOS PADRES,OJAI,OJAI,CA,"OJAI, CA",,,,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,LOS PADRES,SANTA BARBARA,SANTA BARBARA,CA,"SANTA BARBARA, CA",Helitack,NO,Santa Ynez?,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,LOS PADRES,SANTA LUCIA,SANTA MARIA,CA,"SANTA MARIA, CA",,,,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,MENDOCINO,COVELO,COVELO,CA,"COVELO, CA",,,,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MENDOCINO,GRINDSTONE,ELK CREEK,CA,"ELK CREEK, CA",,,,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MENDOCINO,GRINDSTONE,PASKENTA,CA,"PASKENTA, CA",,,,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MENDOCINO,GRINDSTONE,STONYFORD,CA,"STONYFORD, CA","Engine, Hotshot Crew",YES,Housing is often at capacity,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MENDOCINO,GRINDSTONE,WILLOWS,CA,"WILLOWS, CA",,,,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MENDOCINO,UPPER LAKE,UPPER LAKE,CA,"UPPER LAKE, CA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/mendocino/
5,Pacific Southwest,MODOC,BIG VALLEY,ADIN,CA,"ADIN, CA","Engine, Water tender",YES,,http://www.fs.usda.gov/modoc
