Code,City,County,State
11940005,LOUISVILLE,BARBOUR,ALABAMA
11942085,LOWNDESBORO,LOWNDES,ALABAMA
11943003,LOXLEY,BALDWIN,ALABAMA
11950041,LUVERNE,CRENSHAW,ALABAMA
11953133,LYNN,WINSTON,ALABAMA
11955073,MABEN,JEFFERSON,ALABAMA
11957053,MCCULLOUGH,ESCAMBIA,ALABAMA
11958073,MCCALLA,JEFFERSON,ALABAMA
11959129,MCINTOSH,WASHINGTON,ALABAMA
11960013,MCKENZIE,BUTLER,ALABAMA
11961107,MCSHAN,PICKENS,ALABAMA
11962131,MCWILLIAMS,WILCOX,ALABAMA
11970083,MADISON,LIMESTONE,ALABAMA
11970089,MADISON,MADISON,ALABAMA
11980069,MADRID,HOUSTON,ALABAMA
11984091,MAGNOLIA,MARENGO,ALABAMA
11985003,MAGNOLIA SPRINGS,BALDWIN,ALABAMA
11988003,MALBIS,BALDWIN,ALABAMA
11989129,MALCOLM,WASHINGTON,ALABAMA
11990061,MALVERN,GENEVA,ALABAMA
12000021,MAPLESVILLE,CHILTON,ALABAMA
12002001,MARBURY,AUTAUGA,ALABAMA
12010115,MARGARET,SAINT CLAIR,ALABAMA
12020105,MARION,PERRY,ALABAMA
12022047,MARION JCT,DALLAS,ALABAMA
12023007,MARVEL,BIBB,ALABAMA
12024101,MATHEWS,MONTGOMERY,ALABAMA
12025101,MAXWELL AF BASE,MONTGOMERY,ALABAMA
12026117,MAYLENE,SHELBY,ALABAMA
12027073,MAYTOWN,JEFFERSON,ALABAMA
12028023,MELVIN,CHOCTAW,ALABAMA
12029089,MAYSVILLE,MADISON,ALABAMA
12030049,MENTONE,DE KALB,ALABAMA
12031089,MERIDIANVILLE,MADISON,ALABAMA
12032099,MEGARGEL,MONROE,ALABAMA
12045099,MEXIA,MONROE,ALABAMA
12050045,MIDLAND CITY,DALE,ALABAMA
12052073,MIDFIELD,JEFFERSON,ALABAMA
12060011,MIDWAY,BULLOCK,ALABAMA
12063051,MILLBROOK,ELMORE,ALABAMA
12065131,MILLERS FERRY,WILCOX,ALABAMA
12067027,MILLERVILLE,CLAY,ALABAMA
12070121,MIGNON,TALLADEGA,ALABAMA
12080075,MILLPORT,LAMAR,ALABAMA
12090129,MILLRY,WASHINGTON,ALABAMA
12093047,MINTER,DALLAS,ALABAMA
12100097,MOBILE,MOBILE,ALABAMA
12110099,MONROEVILLE,MONROE,ALABAMA
12120117,MONTEVALLO,SHELBY,ALABAMA
12130101,MONTGOMERY,MONTGOMERY,ALABAMA
12135003,MONTROSE,BALDWIN,ALABAMA
12136115,MOODY,SAINT CLAIR,ALABAMA
12140083,MOORESVILLE,LIMESTONE,ALABAMA
12141073,MORRIS,JEFFERSON,ALABAMA
12143073,"AIR STATION, SAN DIEGO",JEFFERSON,ALABAMA
12145025,MORVIN,CLARKE,ALABAMA
12147085,MOSSES,LOWNDES,ALABAMA
12150079,MOULTON,LAWRENCE,ALABAMA
12155055,MOUNTAINBORO,ETOWAH,ALABAMA
12160065,MOUNDVILLE,HALE,ALABAMA
12170073,MOUNTAIN BROOK,JEFFERSON,ALABAMA
12172021,MOUNTAIN CREEK,CHILTON,ALABAMA
12173079,MOUNT HOPE,LAWRENCE,ALABAMA
12174037,MOUNT OLIVE,COOSA,ALABAMA
12174073,MOUNT OLIVE,JEFFERSON,ALABAMA
12175097,MOUNT VERNON,MOBILE,ALABAMA
12176101,MOUNT MEIGS,MONTGOMERY,ALABAMA
12180073,MULGA,JEFFERSON,ALABAMA
12185121,MUNFORD,TALLADEGA,ALABAMA
12187029,MUSCADINE,CLEBURNE,ALABAMA
12190033,MUSCLE SHOALS,COLBERT,ALABAMA
12193091,MYRTLEWOOD,MARENGO,ALABAMA
12194091,NANAFALIA,MARENGO,ALABAMA
12195045,NAPIER FIELD,DALE,ALABAMA
12196133,NATURAL BRIDGE,WINSTON,ALABAMA
12200127,NAUVOO,WALKER,ALABAMA
12203009,NECTAR,BLOUNT,ALABAMA
12205023,NEEDHAM,CHOCTAW,ALABAMA
12210065,NEWBERN,HALE,ALABAMA
12220031,NEW BROCKTON,COFFEE,ALABAMA
12222111,NEWELL,RANDOLPH,ALABAMA
12223073,NEW CASTLE,JEFFERSON,ALABAMA
12224089,NEW MARKET,MADISON,ALABAMA
12225089,NEW HOPE,MADISON,ALABAMA
12226123,NEW SITE,TALLAPOOSA,ALABAMA
12228049,NEWSOME,DE KALB,ALABAMA
12230045,NEWTON,DALE,ALABAMA
12240067,NEWVILLE,HENRY,ALABAMA
12243037,NIXBURG,COOSA,ALABAMA
12246089,NORMAL,MADISON,ALABAMA
12255079,NORTH COURTLAND,LAWRENCE,ALABAMA
12260125,NORTHPORT,TUSCALOOSA,ALABAMA
12270081,NOTASULGA,LEE,ALABAMA
